"year","month","day","dep_time","dep_delay","arr_time","carrier","airline","arr_delay","tailnum","flight","origin","dest","air_time","distance","hour","minute","temp","wind","precip","visib"
2013,1,1,602,-8,812,"DL","Delta Air Lines Inc.",-8,"N971DL",1919,"LGA","MSP",170,1020,6,2,38.48,12.758647826087,0,10
2013,1,1,602,-3,821,"MQ","Envoy Air",16,"N730MQ",4401,"LGA","DTW",105,502,6,2,38.48,12.758647826087,0,10
2013,1,1,643,-3,922,"UA","United Air Lines Inc.",-18,"N497UA",556,"EWR","PBI",146,1023,6,43,38.48,12.758647826087,0,10
2013,1,1,656,-4,854,"AA","American Airlines Inc.",4,"N4WNAA",305,"LGA","ORD",143,733,6,56,38.48,12.758647826087,0,10
2013,1,1,709,9,852,"UA","United Air Lines Inc.",20,"N26226",1092,"LGA","ORD",135,733,7,9,38.48,12.758647826087,0,10
2013,1,1,821,1,1153,"B6","JetBlue Airways",24,"N521JB",181,"JFK","SAN",354,2446,8,21,38.48,12.758647826087,0,10
2013,1,1,902,-1,1048,"UA","United Air Lines Inc.",3,"N820UA",580,"EWR","ORD",145,719,9,2,38.48,12.758647826087,0,10
2013,1,1,912,12,1241,"AA","American Airlines Inc.",21,"N5CRAA",647,"JFK","MIA",166,1089,9,12,38.48,12.758647826087,0,10
2013,1,1,956,-4,1241,"DL","Delta Air Lines Inc.",0,"N956DL",1847,"LGA","ATL",129,762,9,56,38.48,12.758647826087,0,10
2013,1,1,1010,-5,1204,"US","US Airways Inc.",-6,"N162UW",1103,"EWR","CLT",90,529,10,10,38.48,12.758647826087,0,10
2013,1,1,1011,10,1133,"EV","ExpressJet Airlines Inc.",5,"N820AS",5736,"LGA","IAD",59,229,10,11,38.48,12.758647826087,0,10
2013,1,1,1056,-3,1203,"EV","ExpressJet Airlines Inc.",-6,"N11544",4479,"EWR","PWM",51,284,10,56,38.48,12.758647826087,0,10
2013,1,1,1059,6,1342,"UA","United Air Lines Inc.",-9,"N451UA",369,"EWR","LAS",325,2227,10,59,38.48,12.758647826087,0,10
2013,1,1,1135,-5,1429,"AA","American Airlines Inc.",-16,"N3EYAA",1623,"EWR","MIA",156,1085,11,35,38.48,12.758647826087,0,10
2013,1,1,1157,-1,1310,"EV","ExpressJet Airlines Inc.",-5,"N16546",4511,"EWR","ROC",50,246,11,57,38.48,12.758647826087,0,10
2013,1,1,1230,-5,1440,"EV","ExpressJet Airlines Inc.",2,"N741EV",5311,"EWR","DTW",108,488,12,30,38.48,12.758647826087,0,10
2013,1,1,1304,5,1430,"B6","JetBlue Airways",12,"N346JB",32,"JFK","ROC",65,264,13,4,38.48,12.758647826087,0,10
2013,1,1,1327,-3,1638,"VX","Virgin America",-17,"N642VA",411,"JFK","LAX",352,2475,13,27,38.48,12.758647826087,0,10
2013,1,1,1344,0,2005,"UA","United Air Lines Inc.",21,"N76065",15,"EWR","HNL",656,4963,13,44,38.48,12.758647826087,0,10
2013,1,1,1416,5,1603,"UA","United Air Lines Inc.",14,"N456UA",683,"EWR","ORD",136,719,14,16,38.48,12.758647826087,0,10
2013,1,1,1726,-3,2042,"UA","United Air Lines Inc.",-18,"N557UA",512,"JFK","SFO",347,2586,17,26,38.48,12.758647826087,0,10
2013,1,1,1739,-6,1956,"DL","Delta Air Lines Inc.",3,"N965DL",2331,"LGA","DTW",93,502,17,39,38.48,12.758647826087,0,10
2013,1,1,1825,-4,2056,"9E","Endeavor Air Inc.",3,"N906XJ",3286,"JFK","DTW",107,509,18,25,38.48,12.758647826087,0,10
2013,1,1,1840,4,2022,"B6","JetBlue Airways",12,"N281JB",130,"JFK","BUF",70,301,18,40,38.48,12.758647826087,0,10
2013,1,1,1911,1,2050,"MQ","Envoy Air",-5,"N737MQ",4569,"LGA","RDU",81,431,19,11,38.48,12.758647826087,0,10
2013,1,1,2023,38,2240,"9E","Endeavor Air Inc.",34,"N602LR",3352,"JFK","CVG",118,589,20,23,38.48,12.758647826087,0,10
2013,1,1,2053,-2,2254,"MQ","Envoy Air",4,"N730MQ",4573,"LGA","DTW",102,502,20,53,38.48,12.758647826087,0,10
